kind,n_sats_halo,log_luminosity_r01
0,1,8.713576
0,2,8.876068
0,0,8.939497
0,0,9.067819
0,2,9.358614
0,17,10.362027
0,2,8.973343
0,1,9.555662
0,1,8.851812
0,1,9.336034
0,0,8.790323
0,2,9.608866
0,2,9.094929
0,2,9.298593
0,0,9.364425
0,0,8.858165
0,0,9.074765
0,1,9.568926
0,5,10.124837
0,3,9.505847
0,1,9.196048
0,0,8.979161
0,1,9.207483
0,2,9.327036
0,1,9.712643
0,2,9.517608
0,0,8.996228
0,1,8.826979
0,3,8.991768
0,5,10.134624
0,13,10.538163
0,0,9.324638
0,1,8.877627
0,2,9.045993
0,1,8.7144
0,0,8.952213
0,0,8.813984
0,1,9.107236
0,1,9.191258
0,5,9.922465
0,2,9.356384
0,1,8.792411
0,0,8.763685
0,3,10.170611
0,1,9.099352
0,0,9.792737
0,1,8.9782505
0,2,9.765957
0,1,9.213348
0,2,9.328766
0,1,9.2395315
0,0,8.955616
0,1,8.79369
0,0,8.758869
0,0,9.359194
0,3,9.16351
0,0,9.040784
0,2,9.285958
0,3,9.373503
0,1,8.823569
0,2,8.809009
0,3,10.137569
0,1,9.008429
0,2,9.634015
0,3,9.300556
0,0,9.930821
0,3,9.151159
0,2,9.059118
0,0,8.758055
0,2,8.991962
0,0,8.921595
0,0,8.985052
0,0,8.7732935
0,18,10.566733
0,1,8.900593
0,2,9.191247
0,0,8.973298
0,1,9.20496
0,1,9.409545
0,0,8.75498
0,1,8.819835
0,0,8.904039
0,0,8.73111
0,1,8.875313
0,0,8.743789
0,0,8.813525
0,1,8.91957
0,1,9.348644
0,1,9.102548
0,2,8.96302
0,0,8.717079
0,1,8.965032
0,1,9.092986
0,1,9.755973
0,0,8.785002
0,0,8.970499
0,0,9.4365425
0,17,10.454678
0,3,10.012188
0,1,9.425811
0,0,8.818106
0,1,9.781183
0,5,9.5067625
0,6,9.952931
0,0,8.861478
0,0,8.99226
0,0,8.754675
0,1,8.926002
0,2,9.155835
0,6,10.295394
0,2,9.375894
0,14,10.437236
0,1,8.849341
0,1,8.895102
0,1,9.205859
0,2,9.215478
0,1,9.233671
0,3,9.2610655
0,0,8.89507
0,0,9.202857
0,1,9.004926
0,7,9.987432
0,1,8.856667
0,0,9.204407
0,0,9.01152
0,1,9.02271
0,0,8.819972
0,4,9.998274
0,2,8.977385
0,3,8.775631
0,0,9.182929
0,0,8.890446
0,2,8.917833
0,2,9.551739
0,0,8.737517
0,22,10.650023
0,3,8.684812
0,1,9.193369
0,26,10.537066
0,1,8.750604
0,1,9.518333
0,0,8.899911
0,3,9.325986
0,0,9.120364
0,0,9.276132
